alpha,beta,gamma,"spearman_rho_vs_(1,1,1)",spearman_p,diff_R_minus_NR
2.0,2.0,2.0,1.0,0.0,0.16421366273302018
2.0,2.0,1.0,1.0,0.0,0.13460787359405849
1.0,0.5,2.0,1.0,0.0,0.09260109021882681
1.0,1.0,1.0,1.0,0.0,0.08210683136651009
1.0,1.0,0.5,1.0,0.0,0.06730393679702924
0.5,0.5,0.5,1.0,0.0,0.041053415683255046
1.0,2.0,2.0,0.9642857142857145,0.0004541491691941689,0.14993568107876162
0.5,2.0,2.0,0.9642857142857145,0.0004541491691941689,0.14279669025163239
2.0,1.0,2.0,0.9642857142857145,0.0004541491691941689,0.1259906021597303
1.0,2.0,1.0,0.9642857142857145,0.0004541491691941689,0.12032989193979995
2.0,2.0,0.5,0.9642857142857145,0.0004541491691941689,0.1198049790245777
1.0,1.0,2.0,0.9642857142857145,0.0004541491691941689,0.11171262050547177
1.0,2.0,0.5,0.9642857142857145,0.0004541491691941689,0.10552699737031915
0.5,1.0,2.0,0.9642857142857145,0.0004541491691941689,0.1045736296783425
0.5,1.0,1.0,0.9642857142857145,0.0004541491691941689,0.07496784053938081
1.0,0.5,1.0,0.9642857142857145,0.0004541491691941689,0.06299530107986515
0.5,1.0,0.5,0.9642857142857145,0.0004541491691941689,0.06016494596989998
0.5,0.5,1.0,0.9642857142857145,0.0004541491691941689,0.05585631025273589
0.5,2.0,1.0,0.9285714285714288,0.0025194724037946874,0.11319090111267072
2.0,0.5,2.0,0.9285714285714288,0.0025194724037946874,0.10687907187308537
0.5,2.0,0.5,0.9285714285714288,0.0025194724037946874,0.09838800654318985
2.0,1.0,1.0,0.9285714285714288,0.0025194724037946874,0.09638481302076865
1.0,0.5,0.5,0.9285714285714288,0.0025194724037946874,0.048192406510384325
2.0,1.0,0.5,0.8571428571428573,0.013697326615325611,0.0815819184512878
2.0,0.5,1.0,0.8571428571428573,0.013697326615325611,0.0772732827341237
2.0,0.5,0.5,0.7857142857142859,0.03623846267982714,0.06247038816464287
0.5,0.5,2.0,0.7142857142857144,0.0713435614675376,0.08546209939169754
