sample,group,metric,value
HCC5NR,NR,E_CAF,15.419152334960541
HCC5NR,NR,E_TAM,218.30715572944328
HCC5NR,NR,E_CYTO,526.8191345428581
HCC5NR,NR,E_B,62.57044241467833
HCC5NR,NR,E_ENDO,275.54627054707373
HCC5NR,NR,C_CAF_CYTO,0.4077250562126746
HCC5NR,NR,C_CAF_TAM,0.3503701169363419
HCC5NR,NR,C_TAM_CYTO,0.5374461206153138
HCC5NR,NR,C_CAF_B,0.2764762364669533
HCC5NR,NR,C_CYTO_ENDO,0.43768643398681734
HCC5NR,NR,C_TAM_ENDO,0.4186500997123862
HCC6NR,NR,E_CAF,16176.85699128467
HCC6NR,NR,E_TAM,1991.7194158350944
HCC6NR,NR,E_CYTO,2065.829296239458
HCC6NR,NR,E_B,1929.822273685174
HCC6NR,NR,E_ENDO,13246.84405824849
HCC6NR,NR,C_CAF_CYTO,-0.09445161481683469
HCC6NR,NR,C_CAF_TAM,0.041885668473664955
HCC6NR,NR,C_TAM_CYTO,0.35537781066377305
HCC6NR,NR,C_CAF_B,0.10182833208113887
HCC6NR,NR,C_CYTO_ENDO,0.2882288391093496
HCC6NR,NR,C_TAM_ENDO,0.07898048909047815
HCC2R,R,E_CAF,4690.492889140288
HCC2R,R,E_TAM,42562.62160702201
HCC2R,R,E_CYTO,3644.0655838772627
HCC2R,R,E_B,46030.96238963287
HCC2R,R,E_ENDO,1012.1040149882774
HCC2R,R,C_CAF_CYTO,0.3136878519638009
HCC2R,R,C_CAF_TAM,0.24873998176307546
HCC2R,R,C_TAM_CYTO,0.3663425239348884
HCC2R,R,C_CAF_B,0.4833707026617481
HCC2R,R,C_CYTO_ENDO,0.44634858135120903
HCC2R,R,C_TAM_ENDO,0.35484720417847626
HCC1R,R,E_CAF,18665.05439405301
HCC1R,R,E_TAM,13905.13091456469
HCC1R,R,E_CYTO,8839.486336219932
HCC1R,R,E_B,18505.5173887216
HCC1R,R,E_ENDO,5548.708558983813
HCC1R,R,C_CAF_CYTO,0.3695171883317691
HCC1R,R,C_CAF_TAM,0.35492977193084585
HCC1R,R,C_TAM_CYTO,0.4720860603518388
HCC1R,R,C_CAF_B,0.3265895322888315
HCC1R,R,C_CYTO_ENDO,0.43702042133148505
HCC1R,R,C_TAM_ENDO,0.31881643634299245
HCC7NR,NR,E_CAF,714.7625855021707
HCC7NR,NR,E_TAM,974.490327851725
HCC7NR,NR,E_CYTO,962.5404157159337
HCC7NR,NR,E_B,168.26031051652728
HCC7NR,NR,E_ENDO,958.3497665898883
HCC7NR,NR,C_CAF_CYTO,0.13710895906673207
HCC7NR,NR,C_CAF_TAM,0.2379351976937759
HCC7NR,NR,C_TAM_CYTO,0.4671498414301491
HCC7NR,NR,C_CAF_B,0.08969726562393303
HCC7NR,NR,C_CYTO_ENDO,0.4985208381828972
HCC7NR,NR,C_TAM_ENDO,0.4558069266741945
HCC3R,R,E_CAF,13184.340875971366
HCC3R,R,E_TAM,10865.58936840662
HCC3R,R,E_CYTO,13619.260885277825
HCC3R,R,E_B,6839.025032319412
HCC3R,R,E_ENDO,17201.123552740657
HCC3R,R,C_CAF_CYTO,0.2433007443558081
HCC3R,R,C_CAF_TAM,0.35507487566118856
HCC3R,R,C_TAM_CYTO,0.4611617873518977
HCC3R,R,C_CAF_B,0.18674959087330398
HCC3R,R,C_CYTO_ENDO,0.11101289584300925
HCC3R,R,C_TAM_ENDO,0.34850281142888684
HCC4R,R,E_CAF,32710.465158350882
HCC4R,R,E_TAM,62088.70360279996
HCC4R,R,E_CYTO,70471.37547945307
HCC4R,R,E_B,42445.775988850066
HCC4R,R,E_ENDO,35819.97661690807
HCC4R,R,C_CAF_CYTO,0.12052611886312248
HCC4R,R,C_CAF_TAM,0.2566209039436322
HCC4R,R,C_TAM_CYTO,0.4064819029508114
HCC4R,R,C_CAF_B,-0.030220075456707105
HCC4R,R,C_CYTO_ENDO,0.0821101550298842
HCC4R,R,C_TAM_ENDO,0.14357828204301268
