pair,metric,C_all,diff_mean_R_minus_NR,cohens_d,cliffs_delta,mannwhitney_u,p_mannwhitney,p_perm,q_fdr_bh,reject_fdr_0p05
MAL-CAF,C_malig_caf,-0.05828656063750885,0.03822306057328985,2.4016623214950865,1.0,12.0,0.05714285714285714,0.026948652567371632,0.45132743362831856,False
CYTO-CAF,C_cyto_caf,0.025566051726169353,-0.053174391150581944,-1.9085472231301837,-0.8333333333333334,1.0,0.11428571428571428,0.05309734513274336,0.45132743362831856,False
EXH-CAF,C_exh_caf,0.0018452868646813712,-0.014854077589371819,-1.2835287415399792,-0.6666666666666667,2.0,0.22857142857142856,0.19644017799110045,0.7221805576387847,False
EXH-CYTO,C_exh_cyto,0.022655533950444534,0.0296057891389617,1.2312222935492316,0.6666666666666667,10.0,0.22857142857142856,0.19789010549472527,0.7221805576387847,False
TAM-CAF,C_tam_caf,0.06710338290629338,-0.0240379219647614,-1.0109881113577899,-0.6666666666666667,2.0,0.22857142857142856,0.22648867556622168,0.7221805576387847,False
EXH-B,C_exh_b,0.013138115879150671,0.037438052826932855,1.0585332714319884,0.5,9.0,0.4,0.25488725563721815,0.7221805576387847,False
TAM-MAL,C_tam_malig,-0.00422571744647044,-0.04547146040976615,-0.8332612133917716,-0.33333333333333337,4.0,0.6285714285714286,0.312034398280086,0.7577978243944946,False
CYTO-TAM,C_cyto_tam,0.023464157984245226,-0.015239442548234502,-0.5227257986655731,-0.5,3.0,0.4,0.5162741862906854,0.8806622168891556,False
EXH-TAM,C_exh_tam,0.013752062906253536,-0.007550290227116296,-0.35275906586558703,-0.33333333333333337,4.0,0.6285714285714286,0.6836158192090396,0.8806622168891556,False
CAF-ENDO,C_caf_endo,0.03929439631376399,-0.01268642485325288,-0.2610482719516933,-0.33333333333333337,4.0,0.6285714285714286,0.7085145742712864,0.8806622168891556,False
B-TAM,C_b_tam,0.10414220023449008,0.021018330358487422,0.3116658802872484,0.33333333333333326,8.0,0.6285714285714286,0.7151642417879106,0.8806622168891556,False
CYTO-B,C_b_cyto,0.01606853094514284,0.014277981654258514,0.3269592274681741,0.16666666666666674,7.0,0.8571428571428571,0.7474126293685316,0.8806622168891556,False
EXH-MAL,C_exh_malig,-0.026182947516869743,-0.00486882323828897,-0.1990064751341629,0.0,6.0,1.0,0.767661616919154,0.8806622168891556,False
B-MAL,C_b_malig,-0.036860115195229734,0.020544638749434112,0.4427036521917607,0.0,6.0,1.0,0.7960101994900255,0.8806622168891556,False
MAL-ENDO,C_malig_endo,-0.0073471068286000045,0.005427326092512742,0.19386713312447793,0.16666666666666674,7.0,0.8571428571428571,0.7970601469926504,0.8806622168891556,False
CYTO-MAL,C_cyto_malig,-0.017961169432626767,-0.004144204768858543,-0.14198997686456166,-0.16666666666666663,5.0,0.8571428571428571,0.8288585570721464,0.8806622168891556,False
B-CAF,C_b_caf,0.07657805135102227,0.006607806475812175,0.07411025173959934,0.33333333333333326,8.0,0.6285714285714286,0.8840557972101395,0.8840557972101395,False
