block,feature,HCC6NR_value,cohort_percentile,R_median,NR_median,delta_vs_R_median,delta_vs_NR_median
confounder,n_spots,2575.0,0.5714285714285714,2884.0,2453.0,,
confounder,n_edges,20757.0,0.5714285714285714,23618.0,18692.0,,
confounder,trace_L,41514.0,0.5714285714285714,47236.0,37384.0,,
confounder,tissue_area,8665060.5,0.8571428571428571,2071023.75,8665060.5,,
confounder,tumor_frac,0.3818030668974612,0.7142857142857143,0.31384445044696335,0.3902165004171653,,
energy_per_traceL,E_B,0.04648605949041707,0.42857142857142855,0.6169064637078316,0.004500864287302785,-0.5704204042174146,0.041985195203114285
energy_per_traceL,E_CAF,0.3896723271976845,0.8571428571428571,0.3743475130053716,0.019119478533655317,0.015324814192312908,0.3705528486640292
energy_per_traceL,E_CYTO,0.04976223192752946,0.42857142857142855,0.28453514141847125,0.025972152166380307,-0.2347729094909418,0.023790079761149153
energy_per_traceL,E_ENDO,0.31909341567298954,0.7142857142857143,0.3044231939603752,0.02563529227984935,0.01467022171261434,0.2934581233931402
energy_per_traceL,E_TAM,0.04797705390555221,0.42857142857142855,0.6228843143474883,0.026067042795092137,-0.5749072604419361,0.02191001111046007
raw_profile,spearman_to_R_median_profile,0.4285714285714286,,,,,
raw_profile,spearman_to_NR_median_profile,0.8285714285714287,,,,,
