metric,endpoint,n,coef_group_z,p_group_z,coef_n_spots_z,p_n_spots_z,coef_tissue_area_z,p_tissue_area_z,coef_tumor_frac_z,p_tumor_frac_z,r2
E_B,per_edge,7,0.4474268175461146,0.5759365547680042,-0.011362284028543404,0.9840904598720822,0.24201394867434162,0.6592194573347112,-0.32080160410234093,0.587464970003198,0.7148504683704966
E_TAM,per_edge,7,0.5811998472904141,0.6185618821246499,0.16419543413854817,0.8458753706140358,0.06702679310462885,0.9320532627138353,-0.026187178281756304,0.9749290758254507,0.5589891034377785
E_ENDO,per_edge,7,0.25632998851192335,0.7073336470684932,0.31305968753577706,0.5526502537906565,-0.26795339293948756,0.58367858805474,0.4205015954588976,0.43923602842396137,0.5191904015519617
E_CYTO,per_edge,7,0.265885131944666,0.8128573836470951,0.7163223930421609,0.4338733548702137,-0.6401727475130078,0.4512273635431723,0.6024892663896697,0.49679589639003363,0.5987451172309386
E_CAF,per_edge,7,-0.04863273120176581,0.9195466489270345,0.463163844527924,0.28299232742070735,-0.3386324503838233,0.3732466435230043,0.16110902190584786,0.660714145155798,0.6681264162936484
E_B,per_traceL,7,0.2237134087730573,0.5759365547680042,-0.005681142014271702,0.9840904598720822,0.12100697433717081,0.6592194573347112,-0.16040080205117047,0.587464970003198,0.7148504683704966
E_TAM,per_traceL,7,0.29059992364520704,0.6185618821246499,0.08209771706927409,0.8458753706140358,0.033513396552314424,0.9320532627138353,-0.013093589140878152,0.9749290758254507,0.5589891034377785
E_ENDO,per_traceL,7,0.12816499425596167,0.7073336470684932,0.15652984376788853,0.5526502537906565,-0.13397669646974378,0.58367858805474,0.2102507977294488,0.43923602842396137,0.5191904015519617
E_CYTO,per_traceL,7,0.132942565972333,0.8128573836470951,0.35816119652108047,0.4338733548702137,-0.3200863737565039,0.4512273635431723,0.30124463319483485,0.49679589639003363,0.5987451172309386
E_CAF,per_traceL,7,-0.024316365600882905,0.9195466489270345,0.231581922263962,0.28299232742070735,-0.16931622519191164,0.3732466435230043,0.08055451095292393,0.660714145155798,0.6681264162936484
