sample,group,metric,endpoint,obs,null_mean,null_std,p_emp,Z_robust,n_perm,n_spots,n_edges,trace_L,tissue_area,tumor_frac
HCC1R,R,E_B,per_edge,0.7242580481672574,0.07312680998702795,3.053752575247624e-16,9.999000099990002e-05,3.7190417463402357,10000,3006,25551,51102.0,1952889.0,0.290778402730058
HCC2R,R,E_B,per_edge,2.011051701237838,0.07898879727447068,2.580968202438157e-16,9.999000099990002e-05,3.7190417463402357,10000,2766,22889,45778.0,7070947.999999999,0.27709775303526285
HCC3R,R,E_B,per_edge,0.39780275897623374,0.07563916037004727,2.95839283855212e-16,9.999000099990002e-05,3.7190417463402357,10000,2170,17192,34384.0,1531981.9999999998,0.3639955245256927
HCC4R,R,E_B,per_edge,1.743367806664069,0.12615745982714183,0.0002697146326605808,9.999000099990002e-05,3.7190417463402357,10000,3002,24347,48694.0,2189158.5,0.3369104981638687
HCC5NR,NR,E_B,per_edge,0.0061694382187614215,0.0062832019878002986,0.007411101282409591,0.27377262273772623,0.6014425800214506,10000,1320,10142,20284.0,1215773.0,0.3902165004171653
HCC6NR,NR,E_B,per_edge,0.09297211898083414,0.1344807111390587,1.9926279436063157e-15,1.0,-inf,10000,2575,20757,41514.0,8665060.5,0.3818030668974612
HCC7NR,NR,E_B,per_edge,0.00900172857460557,0.00994849170495631,0.017282409159462137,0.22427757224277572,0.7578260178998322,10000,2453,18692,37384.0,9151844.5,0.44557220926256585
HCC1R,R,E_CAF,per_edge,0.7305019135866699,0.06726487363370799,2.6171980910008895e-16,9.999000099990002e-05,3.7190417463402357,10000,3006,25551,51102.0,1952889.0,0.290778402730058
HCC2R,R,E_CAF,per_edge,0.2049234518388871,0.05787731872755846,2.872434983428115e-16,9.999000099990002e-05,3.7190417463402357,10000,2766,22889,45778.0,7070947.999999999,0.27709775303526285
HCC3R,R,E_CAF,per_edge,0.7668881384348166,0.08728871684635454,2.5014268853896553e-16,9.999000099990002e-05,3.7190417463402357,10000,2170,17192,34384.0,1531981.9999999998,0.3639955245256927
HCC4R,R,E_CAF,per_edge,1.343511116702299,0.0626767647151358,0.006612013503144855,9.999000099990002e-05,3.7190417463402357,10000,3002,24347,48694.0,2189158.5,0.3369104981638687
HCC5NR,NR,E_CAF,per_edge,0.001520326595835195,0.0008746794386104266,0.001809501068740048,0.10868913108689131,1.2335295412389284,10000,1320,10142,20284.0,1215773.0,0.3902165004171653
HCC6NR,NR,E_CAF,per_edge,0.779344654395369,0.06029751926516371,3.5995724639967367e-16,9.999000099990002e-05,3.7190417463402357,10000,2575,20757,41514.0,8665060.5,0.3818030668974612
HCC7NR,NR,E_CAF,per_edge,0.03823895706731063,0.016576640693547737,0.022627725504123376,0.14998500149985,1.0364977190484002,10000,2453,18692,37384.0,9151844.5,0.44557220926256585
HCC1R,R,E_CYTO,per_edge,0.34595461376149395,0.03963505428174525,2.154982397622951e-16,9.999000099990002e-05,3.7190417463402357,10000,3006,25551,51102.0,1952889.0,0.290778402730058
HCC2R,R,E_CYTO,per_edge,0.15920597596562816,0.07059705730855435,3.5755271262081643e-16,9.999000099990002e-05,3.7190417463402357,10000,2766,22889,45778.0,7070947.999999999,0.27709775303526285
HCC3R,R,E_CYTO,per_edge,0.7921859519123909,0.07517282525854818,2.7742860649602645e-16,9.999000099990002e-05,3.7190417463402357,10000,2170,17192,34384.0,1531981.9999999998,0.3639955245256927
HCC4R,R,E_CYTO,per_edge,2.8944582691688123,0.0739624534100614,0.010458088487513123,9.999000099990002e-05,3.7190417463402357,10000,3002,24347,48694.0,2189158.5,0.3369104981638687
HCC5NR,NR,E_CYTO,per_edge,0.051944304332760614,0.0475400688866263,0.003239780029500553,0.1260873912608739,1.1450829863944811,10000,1320,10142,20284.0,1215773.0,0.3902165004171653
HCC6NR,NR,E_CYTO,per_edge,0.09952446385505892,0.12705225200774084,1.2835789135467137e-15,1.0,-inf,10000,2575,20757,41514.0,8665060.5,0.3818030668974612
HCC7NR,NR,E_CYTO,per_edge,0.05149477935565662,0.053672273499847975,0.004917315522341687,0.5964403559644036,-0.24414401062749283,10000,2453,18692,37384.0,9151844.5,0.44557220926256585
HCC1R,R,E_ENDO,per_edge,0.2171620898980006,0.05131295075870905,2.6529200926752515e-16,9.999000099990002e-05,3.7190417463402357,10000,3006,25551,51102.0,1952889.0,0.290778402730058
HCC2R,R,E_ENDO,per_edge,0.0442179219270513,0.04307314498341687,4.714049658379395e-16,9.999000099990002e-05,3.7190417463402357,10000,2766,22889,45778.0,7070947.999999999,0.27709775303526285
HCC3R,R,E_ENDO,per_edge,1.0005306859435001,0.05922396796933476,2.360413035707322e-16,9.999000099990002e-05,3.7190417463402357,10000,2170,17192,34384.0,1531981.9999999998,0.3639955245256927
HCC4R,R,E_ENDO,per_edge,1.4712275276998426,0.053290294063509304,0.0065218447391102476,9.999000099990002e-05,3.7190417463402357,10000,3002,24347,48694.0,2189158.5,0.3369104981638687
HCC5NR,NR,E_ENDO,per_edge,0.027168829673345864,0.01545605234655477,0.014995744873366811,0.14878512148785122,1.0416580537062698,10000,1320,10142,20284.0,1215773.0,0.3902165004171653
HCC6NR,NR,E_ENDO,per_edge,0.6381868313459791,0.030908189798874577,4.585811655083908e-16,9.999000099990002e-05,3.7190417463402357,10000,2575,20757,41514.0,8665060.5,0.3818030668974612
HCC7NR,NR,E_ENDO,per_edge,0.0512705845596987,0.023808770662674603,0.029565489266449817,0.1621837816218378,0.9855223406190212,10000,2453,18692,37384.0,9151844.5,0.44557220926256585
HCC1R,R,E_TAM,per_edge,0.5442108298917728,0.09806104227380845,2.6439108924925073e-16,9.999000099990002e-05,3.7190417463402357,10000,3006,25551,51102.0,1952889.0,0.290778402730058
HCC2R,R,E_TAM,per_edge,1.8595229851466641,0.1367292511198771,3.2210808888761454e-16,9.999000099990002e-05,3.7190417463402357,10000,2766,22889,45778.0,7070947.999999999,0.27709775303526285
HCC3R,R,E_TAM,per_edge,0.6320142722432888,0.06889056870962688,2.312142322051115e-16,9.999000099990002e-05,3.7190417463402357,10000,2170,17192,34384.0,1531981.9999999998,0.3639955245256927
HCC4R,R,E_TAM,per_edge,2.550158278342299,0.06547048080714137,0.008627106052452057,9.999000099990002e-05,3.7190417463402357,10000,3002,24347,48694.0,2189158.5,0.3369104981638687
HCC5NR,NR,E_TAM,per_edge,0.021525059724851442,0.019740293968036383,0.01725809917004271,0.28357164283571645,0.5722637773999782,10000,1320,10142,20284.0,1215773.0,0.3902165004171653
HCC6NR,NR,E_TAM,per_edge,0.09595410781110442,0.08824950636360948,1.1134829448276283e-15,9.999000099990002e-05,3.7190417463402357,10000,2575,20757,41514.0,8665060.5,0.3818030668974612
HCC7NR,NR,E_TAM,per_edge,0.05213408559018427,0.03240617351575803,0.03064319351521186,0.21747825217478253,0.7807381727786762,10000,2453,18692,37384.0,9151844.5,0.44557220926256585
HCC1R,R,E_B,per_traceL,0.3621290240836287,0.03656340499351397,1.526876287623812e-16,9.999000099990002e-05,3.7190417463402357,10000,3006,25551,51102.0,1952889.0,0.290778402730058
HCC2R,R,E_B,per_traceL,1.005525850618919,0.03949439863723534,1.2904841012190784e-16,9.999000099990002e-05,3.7190417463402357,10000,2766,22889,45778.0,7070947.999999999,0.27709775303526285
HCC3R,R,E_B,per_traceL,0.19890137948811687,0.037819580185023634,1.47919641927606e-16,9.999000099990002e-05,3.7190417463402357,10000,2170,17192,34384.0,1531981.9999999998,0.3639955245256927
HCC4R,R,E_B,per_traceL,0.8716839033320345,0.06307872991357091,0.0001348573163302904,9.999000099990002e-05,3.7190417463402357,10000,3002,24347,48694.0,2189158.5,0.3369104981638687
HCC5NR,NR,E_B,per_traceL,0.0030847191093807107,0.0031416009939001493,0.0037055506412047956,0.27377262273772623,0.6014425800214506,10000,1320,10142,20284.0,1215773.0,0.3902165004171653
